Dataset,Line,Example,Template,ClusterId
Thunderbird,109865227,warning: process /usr/libexec/postfix/pickup pid 2902 exit status 127,warning: process /usr/libexec/postfix/pickup pid <*> exit status <*>,648
Thunderbird,110603817,warning: /usr/libexec/postfix/pickup: bad command startup -- throttling,warning: /usr/libexec/postfix/pickup: bad command startup -- throttling,649
Thunderbird,111067293,haldaemon startup succeeded,haldaemon startup succeeded,650
Thunderbird,111184298,%RPM0-P:CP %IFMGR-5-OSTATE_UP: Changed interface state to up: Gi 8/89,<*> Changed interface state to up: Gi <*>,651
Thunderbird,112065878,"pan_ips: error -- tx sched send, 0x23a1 (pan_sock: timeout), err_loc=4, rhel_4_amd64/release/build/panfs/ips/pan_ips_tx_sched.c:675","pan_ips: error -- tx sched send, <*> (pan_sock: timeout), <*>",652
Thunderbird,112144777,%RPM1-P:CP %SYS-5-CONFIG_I: Configured from console by vty1 ( 10.100.248.3 ),<*> Configured from console by <*> ( <*> ),653
Thunderbird,112539041,%RPM1-P:CP %SEC-5-LOGOUT: Exec session is terminated for user admin on line vty2 (10.100.248.3),<*> Exec session is terminated for user admin on line <*>,654
Thunderbird,112777780,fs_client_cap: done,fs_client_cap: done,655
Thunderbird,112808129,smartd received signal 15: Terminated,smartd received signal <*> Terminated,656
Thunderbird,113616585,Reading included configuration file: /etc/xinetd.d/cups-lpd [file=/etc/xinetd.d/cups-lpd] [line=17],Reading included configuration file: /etc/xinetd.d/cups-lpd [file=/etc/xinetd.d/cups-lpd] <*>,657
Thunderbird,113850102,activating NMI Watchdog ... done.,activating NMI Watchdog ... done.,658
Thunderbird,115054864,"stream_eof, connection to an19 dropped (Premature end of message). setting node state to down","stream_eof, connection to <*> dropped (Premature end of message). setting node state to down",659
Thunderbird,115268794,running '/usr/sbin/up2date --nox -i -f kernel-devel' with root privileges on behalf of 'root',running <*> --nox -i -f kernel-devel' with root privileges on behalf of 'root',660
Thunderbird,115536339,pam_krb5[8551]: flag: user_check,<*> flag: user_check,661
Thunderbird,115544099,(root) CMD (/projects/tbird/temps/get_temps e &> /dev/null),(root) CMD (/projects/tbird/temps/get_temps e &> /dev/null),662
Thunderbird,115592660,pam_krb5[3082]: banner: Kerberos 5,<*> banner: Kerberos <*>,663
Thunderbird,115887747,Node 0 Normal free:312136kB min:313868kB low:627736kB high:941604kB active:3450640kB inactive:2222424kB present:7323648kB pages_scanned:8985247 all_unreclaimable? yes,Node <*> Normal <*> all_unreclaimable? yes,664
Thunderbird,116411123,"Total HugeTLB memory allocated, 0","Total HugeTLB memory allocated, <*>",665
Thunderbird,116763349,/tmp: recovering journal,/tmp: recovering journal,666
Thunderbird,118390389,Remounting root filesystem in read-write mode: succeeded,Remounting root filesystem in read-write mode: succeeded,667
Thunderbird,118631802,Mounting other filesystems: succeeded,Mounting other filesystems: succeeded,668
Thunderbird,120908465,"pam_krb5[3415]: no v5 creds for user '#117#', skipping session setup",<*> no <*> creds for user <*> skipping session setup,669
Thunderbird,122095396,RRDs::update ERROR: '/home/#26#/smokeping-2.0.7/etc/var/dibswitches/dr26iblsw1.rrd' is not an RRD file,RRDs::update ERROR: <*> is not an RRD file,670
Thunderbird,122828396,"node_bailout, 69481.tbird-admin2 POLL failed from node en284 15)","node_bailout, <*> POLL failed from node <*>",671
Thunderbird,123788987,Calling RRDs::update(/home/#26#/smokeping-2.0.7/etc/var/tbirdbsection/bn1024.rrd --template uptime:loss:median:ping1:ping2:ping3:ping4:ping5:ping6:ping7:ping8:ping9:ping10:ping11:ping12:ping13:ping14:ping15:ping16:ping17:ping18:ping19:ping20 N:U:0:4.0000000000e-05:0.0000000000e+00:0.0000000000e+00:0.0000000000e+00:1.0000000000e-05:1.0000000000e-05:2.0000000000e-05:3.0000000000e-05:3.0000000000e-05:4.0000000000e-05:4.0000000000e-05:4.0000000000e-05:4.0000000000e-05:5.0000000000e-05:5.0000000000e-05:8.0000000000e-05:8.0000000000e-05:9.0000000000e-05:9.0000000000e-05:9.0000000000e-05:9.0000000000e-05),Calling <*> --template <*>,672
Thunderbird,124805395,Node 0 DMA free:11832kB min:700kB low:1400kB high:2100kB active:0kB inactive:0kB present:16384kB pages_scanned:5404 all_unreclaimable? yes,Node <*> DMA <*> all_unreclaimable? yes,673
Thunderbird,126027923,"Device: /dev/sda, No such device or address, open() failed","Device: /dev/sda, No such device or address, open() failed",674
Thunderbird,129292388,(#57#) CMD (/home/#57#/ping2.sh),<*> CMD <*>,675
Thunderbird,134171884,(root) CMD (/projects/tbird/temps/get_temps c &> /dev/null),(root) CMD (/projects/tbird/temps/get_temps c &> /dev/null),676
Thunderbird,134519227,input: AT Translated Set 2 keyboard on isa0060/serio0,input: AT Translated Set <*> keyboard on <*>,677
Thunderbird,135593829,ACPI: DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,ACPI: DSDT <*> DELL PE BKC <*> MSFT <*> @ <*>,678
Thunderbird,137359858,FPing: Got fping output: 'badmin2 : 0.5 0.0 0.1 0.0 0.2 0.1 0.0 0.5 0.5 0.8 0.1 0.5 0.5 0.1 0.7 0.1 0.8 0.2 0.8 0.3',FPing: Got fping output: <*> : <*>,679
Thunderbird,138135879,pam_krb5[30738]: TGT verified using key for 'host/#73#@#24#',<*> TGT verified using key for <*>,680
Thunderbird,139290564,Using ACPI (MADT) for SMP configuration information,Using ACPI (MADT) for SMP configuration information,681
Thunderbird,139507463,Checking all file systems.,Checking all file systems.,682
Thunderbird,139669447,THH(1): XHH_mrwm_register_internal: rc=HH_ERR,<*> XHH_mrwm_register_internal: rc=HH_ERR,683
Thunderbird,139741514,MOSAL(1): IMB-MPI1[4266]: mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_iobuf.c:1136: MOSAL_mlock_iobuf failed - MT_ENORSC,<*> MOSAL_mlock_iobuf failed - MT_ENORSC,684
Thunderbird,139757671,"THH(4): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxhh/thh/obj_host_amd64_custom1_rhel4/mod_thh/tptm.c[1264]: MOSAL_iobuf_register failed: va=0x26FE000, size=0x200000 (-4:MT_ENORSC",<*> MOSAL_iobuf_register failed: <*>,685
Thunderbird,139835077,MOSAL(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1326]: priv_mosal_mlock: could not find mm=0x0000010037d2a4c0 (pid=4740) in the hash,<*> priv_mosal_mlock: could not find <*> in the hash,686
Thunderbird,139874528,MOSAL(4): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mlock.c[1226]: MOSAL_mlock_iobuf: Failed (MT_ENORSC) priv_mosal_mlock for addr=0x2700000 size=0x200000,<*> MOSAL_mlock_iobuf: Failed (MT_ENORSC) priv_mosal_mlock for <*>,687
Thunderbird,139885696,VIPKL(1): Inside CQM_create_cq: Unable to register HH CQ. hh_ret = -255,<*> Inside CQM_create_cq: Unable to register HH CQ. hh_ret = <*>,688
Thunderbird,140722545,"(root) CMD (/apps/contrib/check-disks aadmin[1-4],badmin[1-4],cadmin[1-4],dadmin[1-4],eadmin[1-2])",(root) CMD (/apps/contrib/check-disks <*>,689
Thunderbird,140990496,xinetd shutdown succeeded,xinetd shutdown succeeded,690
Thunderbird,141149096,Setting clock (localtime): Tue Apr 25 11:00:12 MDT 2006 succeeded,Setting clock (localtime): Tue Apr <*> MDT <*> succeeded,691
Thunderbird,141396318,ACPI: SPCR (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd774,ACPI: SPCR <*> DELL PE BKC <*> MSFT <*> @ <*>,692
Thunderbird,142782020,pam_krb5[28225]: trying previously-entered password for '#818#',<*> trying previously-entered password for <*>,693
Thunderbird,142963985,"is_request, bad attempt to connect from 10.100.32.90:1023 (address not trusted)","is_request, bad attempt to connect from <*> (address not trusted)",694
Thunderbird,143065774,"[ib_sm_discovery.c:752]: switch lid change, node - GUID=00:05:ad:00:00:02:71:78, port=0, neighbor (nil), changing lid from 0, back to original 494","<*> switch lid change, node - <*> neighbor (nil), changing lid from <*> back to original <*>",695
Thunderbird,143243149,"[INFO]: guid replication - attempt to overwrite lid 0x1033, guid 0x49a8030000ad0500, with guid 0x49a8030000ad0500",[INFO]: guid replication - attempt to overwrite lid <*> guid <*> with guid <*>,696
Thunderbird,143457363,[CONF]: [super]: config interface ib 1/4 shutdown,[CONF]: [super]: config interface ib <*> shutdown,697
Thunderbird,143836851,"pan_kmod: registered subdev 0x78 (""PANASAS kernel trace facility"")","pan_kmod: registered subdev <*> (""PANASAS kernel trace facility"")",698
Thunderbird,144392340,ACPI: INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level),ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),699
Thunderbird,144584178,Setting clock (localtime): Sat Apr 29 16:45:21 MDT 2006 succeeded,Setting clock (localtime): Sat Apr <*> MDT <*> succeeded,700
Thunderbird,145768693,pan_mem: tolerating leak (bug 27645); buffer 0x101b20f9600:448 at rhel_4_amd64/release/build/panfs/rm/client/pan_rm_client_bindcache.c:5707,pan_mem: tolerating leak (bug <*> buffer <*> at <*>,701
Thunderbird,145811979,snmpd shutdown succeeded,snmpd shutdown succeeded,702
Thunderbird,145818960,"stream_eof, connection to bn693 dropped (End of File). setting node state to down","stream_eof, connection to <*> dropped (End of File). setting node state to down",703
Thunderbird,146712412,Bringing up interface ib0: succeeded,Bringing up interface <*> succeeded,704
Thunderbird,147228448,"Dquot-cache hash table entries: 512 (order 0, 4096 bytes)",Dquot-cache hash table entries: <*> (order <*> bytes),705
Thunderbird,147548939,smartd is exiting (exit status 0),smartd is exiting (exit status <*>,706
Thunderbird,148528441,MOSAL(1): req_perm = READ,<*> req_perm = READ,707
Thunderbird,149777109,Remote host disconnected: Key exchange failed.,Remote host disconnected: Key exchange failed.,708
Thunderbird,149809588,"connection from ""#569#""",connection from <*>,709
Thunderbird,150000980,Key exchange failed in remote: 'Key exchange failed.',Key exchange failed in remote: 'Key exchange failed.',710
Thunderbird,150063916,authentication cancelled by user: 'Authentication cancelled by user.',authentication cancelled by user: 'Authentication cancelled by user.',711
Thunderbird,150748541,connection lost: 'Connection closed.',connection lost: 'Connection closed.',712
Thunderbird,151952937,Remote host disconnected: Authentication cancelled by user.,Remote host disconnected: Authentication cancelled by user.,713
Thunderbird,151972614,"MOSAL(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mem.c[422]: MOSAL_virt_to_phys_ex: cannot retrieve pmd_p: prot_ctx=USER, va=0x2BC11F8000","<*> MOSAL_virt_to_phys_ex: cannot retrieve pmd_p: prot_ctx=USER, <*>",714
Thunderbird,153179523,"MOSAL(1): mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/third_party/thca4_linux/kernel/mlxsys/obj_host_amd64_custom1_rhel4/mlxsys/mosal_mem.c[412]: MOSAL_virt_to_phys_ex: cannot retrieve pgd_p: prot_ctx=USER, va=0x2C0008A000","<*> MOSAL_virt_to_phys_ex: cannot retrieve pgd_p: prot_ctx=USER, <*>",715
Thunderbird,153440883,Lustre: Removed LNI 10.100.32.2@tcp,Lustre: Removed LNI <*>,716
Thunderbird,153447792,LustreError: 5878:0:(llite_lib.c:771:lustre_process_log()) class_config_parse_llog failed: rc = -5,LustreError: <*> class_config_parse_llog failed: rc = <*>,717
Thunderbird,153822892,(root) CMD (ssh tbird-sm1 /home/#1867#/SCRIPTS/counters.cron1 ),(root) CMD (ssh <*> ),718
Thunderbird,154993998,crond shutdown succeeded,crond shutdown succeeded,719
Thunderbird,155057552,terminating on signal 15,terminating on signal <*>,720
Thunderbird,155137283,[/sbin/fsck.ext3 (1) -- /tmp],<*> -- /tmp],721
Thunderbird,155304511,Real Time Clock Driver v1.12,Real Time Clock Driver <*>,722
Thunderbird,155592824,vm.max_map_count = 131072,vm.max_map_count = <*>,723
Thunderbird,155688478,Booting processor 1/6 rip 6000 rsp 100bff05f58,Booting processor <*> rip <*> rsp <*>,724
Thunderbird,155776612,smartd startup succeeded,smartd startup succeeded,725
Thunderbird,156203483,Sun May 7 09:48:32 MDT 2006,Sun May <*> MDT <*>,726
Thunderbird,156316354,ACPI: PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 *11 12),ACPI: PCI Interrupt Link [LNKC] (IRQs <*>,727
Thunderbird,163025583,Lost 34 timer tick(s)! rip __do_softirq+0x4d/0xd0),Lost <*> timer tick(s)! rip <*>,728
Thunderbird,163099530,"[ib_sm_discovery.c:164]: Failed to discover port - GUID=00:06:6a:00:01:00:03:99, port=7",<*> Failed to discover port - <*>,729
Thunderbird,164561435,pam_krb5[25438]: pam_authenticate returning 0 (Success),<*> pam_authenticate returning <*> (Success),730
Thunderbird,164810132,(root) CMD (/usr/lib/sa/sa1 1 1),(root) CMD <*>,731
Thunderbird,167035831,FAIL: rsync service_limit from=10.100.0.44,FAIL: rsync service_limit <*>,732
Thunderbird,167271469,"Inappropriate ioctl for device (25) in search_env_and_open, failed connect to mpiexec process on MS","Inappropriate ioctl for device <*> in search_env_and_open, failed connect to mpiexec process on MS",733
Thunderbird,167778162,smartd version 5.33 [x86_64-redhat-linux-gnu] Copyright (C) 2002-4 Bruce Allen,smartd version <*> Copyright (C) <*> Bruce Allen,734
Thunderbird,167870585,"IA32 emulation $Id: sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $",<*> emulation $Id: <*> ak Exp $,735
Thunderbird,168206727,Placing software IO TLB between 0x7eb5000 - 0xbeb5000,Placing software IO TLB between <*> - <*>,736
Thunderbird,169051357,"im_request, bad connect from 10.100.29.54:15003 - unauthorized (okclients: 10.100.248.2,10.100.34.124,127.0.0.1)","im_request, bad connect from <*> - unauthorized (okclients: <*>",737
Thunderbird,171947728,"low 32, high 96, batch 16",low <*> high <*> batch <*>,738
Thunderbird,172256231,%RPM0-P:CP %IP-4-ADDRMOVE: IP Address 172.30.1.2 is moved from MAC address 00:0b:cd:b1:41:5c to MAC address 00:0b:cd:b1:41:2d,<*> IP Address <*> is moved from MAC address <*> to MAC address <*>,739
Thunderbird,173852863,[INFO]: Configuration caused by previous GET/SET operation failures,[INFO]: Configuration caused by previous GET/SET operation failures,740
Thunderbird,177403999,[ib_sm_sweep.c:449]: Failed to get PortInfo from IB node 00:05:ad:00:00:03:a9:4c port 1,<*> Failed to get PortInfo from IB node <*> port <*>,741
Thunderbird,177484970,VIPKL(1): [create_mr] MM_bfor addr=0x17080000 size=0xA000,<*> [create_mr] MM_bfor <*>,742
Thunderbird,177967777,DBD::mysql::st execute failed: Column 'RightName' cannot be null at /usr/lib/perl5/site_perl/5.8.5/DBIx/SearchBuilder/Handle.pm line 492. (/opt/rt3/lib/RT.pm:287),DBD::mysql::st execute failed: Column 'RightName' cannot be null at <*> line <*>,743
Thunderbird,178062493,We don't do scrips yet #1083 (/opt/rt3/local/lib/RTx/AssetTracker/Transaction_Overlay.pm:155),We don't do scrips yet <*>,744
Thunderbird,178068008,Asset 435 created of type 'PE1850' by RT_System (/opt/rt3/local/lib/RTx/AssetTracker/Asset_Overlay.pm:534),Asset <*> created of type <*> by RT_System <*>,745
Thunderbird,178114533,About to think about scrips for transaction #16016,About to think about scrips for transaction <*>,746
Thunderbird,178427407,fs_client_release: last call to write_page on object I-xD020038da11df0002-xGf5edfff4-xU4ef0a7ae11dec433 failed with 0x1a6c (fs client: can't find realm/managers on network); data #15# be dropped (line 525),fs_client_release: last call to write_page on object <*> failed with <*> (fs client: can't find realm/managers on network); data <*> be dropped (line <*>,747
Thunderbird,180012991,(#26#) CMD (/home/#26#/cricket-1.0.5/collect-subtrees 2>&1 > /dev/null),<*> CMD <*> > /dev/null),748
Thunderbird,180528375,"panfs exception: at dir.c:2514, 0x20e (ptp: Node not yet ready to respond), rollback: 2","panfs exception: at <*> (ptp: Node not yet ready to respond), rollback: <*>",749
Thunderbird,183401594,"you want, please write a subnet declaration","you want, please write a subnet declaration",750
Thunderbird,184158411,(root) CMD (/usr/bin/mrtg /etc/mrtg/mrtg.cfg --lock-file /var/lock/mrtg/mrtg_l --confcache-file /var/lib/mrtg/mrtg.ok),(root) CMD (/usr/bin/mrtg /etc/mrtg/mrtg.cfg --lock-file /var/lock/mrtg/mrtg_l --confcache-file /var/lib/mrtg/mrtg.ok),751
Thunderbird,184593508,%RPM0-P:CP %SEC-5-LOGIN_SUCCESS: Login successful for user admin on line vty0 (#2118#),<*> Login successful for user admin on line <*>,752
Thunderbird,185194273,"pam_krb5[6096]: no v5 creds for user 'root', skipping session setup","<*> no <*> creds for user 'root', skipping session setup",753
Thunderbird,185284865,fs_client_cap: starting to scrub the caps,fs_client_cap: starting to scrub the caps,754
Thunderbird,187330118,Ism: MAD Send Get PMA Stats Failed for: Spine 6-A (port 2),Ism: MAD Send Get PMA Stats Failed for: Spine <*> (port <*>,755
Thunderbird,187488672,Password authentication for user #113# accepted.,Password authentication for user <*> accepted.,756
Thunderbird,189714408,pam_krb5[24483]: pam_acct_mgmt returning 0 (Success),<*> pam_acct_mgmt returning <*> (Success),757
Thunderbird,189731695,"LustreError: 8020:0:(events.c:54:request_out_callback()) @@@ type 4, status -113 #316#@00000101628cb800 x1363264/t0 o38->mds-#2746#@ca881_UUID:12 lens 240/272 ref 2 fl Rpc:/0/0 rc 0/0",LustreError: <*> @@@ type <*> status <*> lens <*> ref <*> fl <*> rc <*>,758
Thunderbird,191212815,"[INFO]: threshold-type=rcv-switch-relay-errors, threshold-value=10, current-value=11","[INFO]: threshold-type=rcv-switch-relay-errors, <*>",759
Thunderbird,191668498,LustreError: 7892:0:(lib-move.c:1237:lnet_send()) No route to 12345-10.196.132.81@vib (all routers down),LustreError: <*> No route to <*> (all routers down),760
Thunderbird,193633025,"8A78CF2009C: to=<#26#@#207#>, relay=#211#[#212#], delay=0, status=bounced (host #211#[#212#] said: 550 5.1.1 <#26#@#207#>... User unknown (in reply to RCPT TO command))",<*> status=bounced (host <*> said: <*> User unknown (in reply to RCPT TO command)),761
Thunderbird,197694986,installing panasas drivers,installing panasas drivers,762
Thunderbird,198226170,Received disconnect from ::ffff:#3011#: 11: Disconnect requested by Windows SSH Client.,Received disconnect from <*> Disconnect requested by Windows SSH Client.,763
Thunderbird,199154871,"C5F8DF200A3: from=<#26#@#207#>, size=303559, nrcpt=1 (queue active)",<*> (queue active),764
Thunderbird,199417484,device-mapper: 4.4.0-ioctl (2005-01-12) initialised: dm-#16#@#17#,device-mapper: <*> initialised: <*>,765
Thunderbird,200491978,RTx::AssetTracker::Asset=HASH(0x61c79f0) tried to load a bogus asset named: dn222 (/opt/rt3/local/lib/RTx/AssetTracker/Asset_Overlay.pm:235),<*> tried to load a bogus asset named: <*>,766
Thunderbird,207588911,pam_krb5[14093]: afs not running,<*> afs not running,767
Thunderbird,208602791,Lustre: Skipped 27 previous similar messages,Lustre: Skipped <*> previous similar messages,768
Thunderbird,208638012,LustreError: Unexpected error -11 connecting to 10.0.4.68@tcp at host 10.0.4.68 on port 988,LustreError: Unexpected error <*> connecting to <*> at host <*> on port <*>,769
Thunderbird,209103072,Lustre: Changing connection for OSC_ca869_ostca877sdb_MNT_client-00000101b9408c00 to ca877_UUID/10.196.132.77@vib,Lustre: Changing connection for <*> to <*>,770
Thunderbird,209104584,"Lustre: Accept secure, port 988","Lustre: Accept secure, port <*>",771
Thunderbird,188799150,(root) CMD (/projects/tbird/temps/get_temps a &> /dev/null),(root) CMD (/projects/tbird/temps/get_temps a &> /dev/null),772
Windows,12394,Session: 30547484_1485104298 initialized by client WindowsUpdateAgent.,Session: <*> initialized by client WindowsUpdateAgent.,0
Windows,22778,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],1
Windows,24741,"6.1.7601.23545, pA = PROCESSOR_ARCHITECTURE_AMD64 (9), Culture neutral, VersionScope = 1 nonSxS, PublicKeyToken = {l:8 b:31bf3856ad364e35}, Type neutral, TypeName neutral, PublicKey neutral file: [ml:28{14},l:26{13}]""appraiser.sdb"" srcfile: @0x20ec2958","<*> pA = <*> Culture neutral, VersionScope = <*> nonSxS, PublicKeyToken = <*> Type neutral, TypeName neutral, PublicKey neutral file: <*> srcfile: <*>",2
Windows,26256,"Appl: detectParent: package: Package_14_for_KB3127220~31bf3856ad364e35~amd64~~6.1.1.0, no parent found, go absent","Appl: detectParent: package: <*> no parent found, go absent",3
Windows,38556,"Appl: Selfupdate, Component: amd64_microsoft-windows-appid_31bf3856ad364e35_0.0.0.0_none_d744a17cb2aef972 (6.1.7601.23126), elevation:2, lower version revision holder: 6.1.7601.19021","Appl: Selfupdate, Component: <*> lower version revision holder: <*>",4
Windows,76758,"Applicability(ComponentAnalyzerEvaluateSelfUpdate): Component: amd64_microsoft-windows-m..ditevtlog.resources_31bf3856ad364e35_6.1.7601.23126_ja-jp_e77c87fe46e62056, elevate: 2, applicable(true/false): 0",Applicability(ComponentAnalyzerEvaluateSelfUpdate): Component: <*> elevate: <*> applicable(true/false): <*>,5
Windows,154493,"Appl: Evaluating package applicability for package Package_88_for_KB3147071~31bf3856ad364e35~amd64~~6.1.1.1, applicable state: Installed",Appl: Evaluating package applicability for package <*> applicable state: Installed,6
Windows,241310,"EvaluateApplicability, package: Package_94_for_KB3011780~31bf3856ad364e35~amd64~~6.1.1.5, Package applicability: Absent.","EvaluateApplicability, package: <*> Package applicability: Absent.",7
Windows,289289,"Appl: detect Parent, Package: Package_63_for_KB3138612~31bf3856ad364e35~amd64~~6.1.1.1, Parent: Microsoft-Windows-ServerFoundation-Base-LanguagePack-Package~31bf3856ad364e35~amd64~tr-TR~6.1.7601.17514, Disposition = Detect, VersionComp: EQ, ServiceComp: GE, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present","Appl: detect Parent, Package: <*> Parent: <*> Disposition = Detect, VersionComp: EQ, ServiceComp: GE, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present",8
Windows,359129,"Appl: detect Parent, Package: Package_20_for_KB2894844~31bf3856ad364e35~amd64~~6.1.1.1, Parent: Microsoft-Windows-NetFx2-ServerCore-OC-WOW64-Package~31bf3856ad364e35~amd64~nb-NO~6.1.7601.17514, Disposition = Detect, VersionComp: EQ, ServiceComp: EQ, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present","Appl: detect Parent, Package: <*> Parent: <*> Disposition = Detect, VersionComp: EQ, ServiceComp: EQ, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present",9
Windows,497109,"Appl: Evaluating applicability block(non detectUpdate part), disposition is: Staged, applicability: NotApplicable, result applicability state: Staged","Appl: Evaluating applicability block(non detectUpdate part), disposition is: Staged, applicability: NotApplicable, result applicability state: Staged",10
Windows,613380,"Appl: detect Parent, Package: Package_88_for_KB3149090~31bf3856ad364e35~amd64~~6.1.1.1, disposition state from detectParent: Absent","Appl: detect Parent, Package: <*> disposition state from detectParent: Absent",11
Windows,632635,"Appl: Evaluating package applicability for package Package_80_for_KB3080149~31bf3856ad364e35~amd64~~6.1.1.1, applicable state: Absent",Appl: Evaluating package applicability for package <*> applicable state: Absent,12
Windows,744212,"Appl: detect Parent, Package: Package_for_KB2992611_SP1~31bf3856ad364e35~amd64~~6.1.1.0, Parent: Microsoft-Windows-EmbeddedFoundation-Base-LanguagePack-Package~31bf3856ad364e35~amd64~ja-JP~6.1.7601.17514, Disposition = Staged, VersionComp: EQ, ServiceComp: EQ, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present","Appl: detect Parent, Package: <*> Parent: <*> Disposition = Staged, VersionComp: EQ, ServiceComp: EQ, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present",13
Windows,757677,"Appl: Package: Package_106_for_KB2992611~31bf3856ad364e35~amd64~~6.1.1.0, Update: Trigger_1, Applicable: NotApplicable, Disposition: Staged","Appl: Package: <*> Update: <*> Applicable: NotApplicable, Disposition: Staged",14
Windows,986174,"Read out cached package applicability for package: Package_for_KB2532531~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112",Read out cached package applicability for package: <*> ApplicableState: <*>,15
Windows,1031743,"6.1.7601.23471, pA = PROCESSOR_ARCHITECTURE_AMD64 (9), Culture neutral, VersionScope = 1 nonSxS, PublicKeyToken = {l:8 b:31bf3856ad364e35}, Type neutral, TypeName neutral, PublicKey neutral]) ref: ( flgs: 00000000 guid: {d16d444c-56d8-11d5-882d-0080c847b19","<*> pA = <*> Culture neutral, VersionScope = <*> nonSxS, PublicKeyToken = <*> Type neutral, TypeName neutral, PublicKey neutral]) ref: ( flgs: <*> guid: <*>",16
Windows,1097552,"Appl: detect Parent, Package: Package_124_for_KB3060716~31bf3856ad364e35~amd64~~6.1.1.0, disposition state from detectParent: Installed","Appl: detect Parent, Package: <*> disposition state from detectParent: Installed",17
Windows,1362459,"Appl: detectParent: package: Package_1_for_KB2836942~31bf3856ad364e35~amd64~~6.1.1.0, parent found: Microsoft-Windows-NetFx3-OC-Package~31bf3856ad364e35~amd64~~6.1.7601.17514, state: Installed",Appl: detectParent: package: <*> parent found: <*> state: Installed,18
Windows,1656329,"Appl: detect Parent, Package: Package_for_KB2984972_SP1~31bf3856ad364e35~amd64~~6.1.1.4, Parent: Microsoft-Windows-EmbeddedFoundation-Base-LanguagePack-Package~31bf3856ad364e35~amd64~sr-LATN-CS~6.1.7601.17514, Disposition = Staged, VersionComp: EQ, ServiceComp: GE, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present","Appl: detect Parent, Package: <*> Parent: <*> Disposition = Staged, VersionComp: EQ, ServiceComp: GE, BuildComp: EQ, DistributionComp: GE, RevisionComp: GE, Exist: present",19
Windows,2865928,"Exec: Package: Package_167_for_KB3185278~31bf3856ad364e35~amd64~~6.1.1.4 is already in the correct state, current: Superseded, targeted: Superseded","Exec: Package: <*> is already in the correct state, current: Superseded, targeted: Superseded",20
Windows,2866549,"Exec: Installing Package: Package_92_for_KB3192403~31bf3856ad364e35~amd64~~6.1.1.2, Update: 3192403-186_neutral_LDR, InstallDeployment: amd64_39ff0998c42b97095ca4054ef5a5dc4e_31bf3856ad364e35_6.1.7601.23546_none_3984d09aafee7b44",Exec: Installing Package: <*> Update: <*> InstallDeployment: <*>,21
Windows,3110670,"Appl: Evaluating applicability block(non detectUpdate part), disposition is: Staged, applicability: Applicable, result applicability state: Installed","Appl: Evaluating applicability block(non detectUpdate part), disposition is: Staged, applicability: Applicable, result applicability state: Installed",22
Windows,3209180,"Appl: Package: Package_28_for_KB2894844~31bf3856ad364e35~amd64~~6.1.1.1, Update: 2894844-114_neutral_GDR, Applicable: Applicable, Disposition: Installed","Appl: Package: <*> Update: <*> Applicable: Applicable, Disposition: Installed",23
Windows,3315946,"Appl: SelfUpdate detect, component: amd64_microsoft-windows-c..ityclient.resources_31bf3856ad364e35_6.1.7601.22843_ar-sa_2eadd29b0aa8a7c9, elevation: 2, applicable: 0","Appl: SelfUpdate detect, component: <*> elevation: <*> applicable: <*>",24
